Date,Time,Usage Percentage,Special Events,Is Weekend
2025-10-01,00:00:00,6.59,Normal day,False
2025-10-01,00:30:00,9.21,Normal day,False
2025-10-01,01:00:00,6.23,Normal day,False
2025-10-01,01:30:00,10.4,Normal day,False
2025-10-01,02:00:00,11.4,Normal day,False
2025-10-01,02:30:00,6.5,Normal day,False
2025-10-01,03:00:00,6.06,Normal day,False
2025-10-01,03:30:00,6.64,Normal day,False
2025-10-01,04:00:00,6.83,Normal day,False
2025-10-01,04:30:00,5.59,Normal day,False
2025-10-01,05:00:00,52.02,Normal day,False
2025-10-01,05:30:00,44.52,Normal day,False
2025-10-01,06:00:00,49.79,Normal day,False
2025-10-01,06:30:00,55.28,Normal day,False
2025-10-01,07:00:00,36.51,Normal day,False
2025-10-01,07:30:00,43.78,Normal day,False
2025-10-01,08:00:00,41.55,Normal day,False
2025-10-01,08:30:00,47.73,Normal day,False
2025-10-01,09:00:00,10.51,Normal day,False
2025-10-01,09:30:00,9.55,Normal day,False
2025-10-01,10:00:00,18.43,Normal day,False
2025-10-01,10:30:00,10.93,Normal day,False
2025-10-01,11:00:00,12.13,Normal day,False
2025-10-01,11:30:00,17.41,Normal day,False
2025-10-01,12:00:00,35.37,Normal day,False
2025-10-01,12:30:00,33.15,Normal day,False
2025-10-01,13:00:00,25.24,Normal day,False
2025-10-01,13:30:00,37.51,Normal day,False
2025-10-01,14:00:00,18.83,Normal day,False
2025-10-01,14:30:00,12.0,Normal day,False
2025-10-01,15:00:00,14.8,Normal day,False
2025-10-01,15:30:00,19.51,Normal day,False
2025-10-01,16:00:00,19.96,Normal day,False
2025-10-01,16:30:00,19.52,Normal day,False
2025-10-01,17:00:00,18.32,Normal day,False
2025-10-01,17:30:00,14.56,Normal day,False
2025-10-01,18:00:00,55.46,Normal day,False
2025-10-01,18:30:00,69.68,Normal day,False
2025-10-01,19:00:00,72.2,Normal day,False
2025-10-01,19:30:00,68.58,Normal day,False
2025-10-01,20:00:00,55.26,Normal day,False
2025-10-01,20:30:00,44.92,Normal day,False
2025-10-01,21:00:00,49.99,Normal day,False
2025-10-01,21:30:00,64.91,Normal day,False
2025-10-01,22:00:00,9.82,Normal day,False
2025-10-01,22:30:00,13.27,Normal day,False
2025-10-01,23:00:00,4.56,Normal day,False
2025-10-01,23:30:00,11.91,Normal day,False
2025-10-02,00:00:00,7.02,Normal day,False
2025-10-02,00:30:00,13.2,Normal day,False
2025-10-02,01:00:00,8.63,Normal day,False
2025-10-02,01:30:00,7.12,Normal day,False
2025-10-02,02:00:00,5.46,Normal day,False
2025-10-02,02:30:00,4.15,Normal day,False
2025-10-02,03:00:00,12.02,Normal day,False
2025-10-02,03:30:00,5.49,Normal day,False
2025-10-02,04:00:00,6.74,Normal day,False
2025-10-02,04:30:00,4.71,Normal day,False
2025-10-02,05:00:00,54.86,Normal day,False
2025-10-02,05:30:00,46.34,Normal day,False
2025-10-02,06:00:00,37.64,Normal day,False
2025-10-02,06:30:00,53.22,Normal day,False
2025-10-02,07:00:00,36.65,Normal day,False
2025-10-02,07:30:00,37.77,Normal day,False
2025-10-02,08:00:00,44.1,Normal day,False
2025-10-02,08:30:00,44.71,Normal day,False
2025-10-02,09:00:00,15.63,Normal day,False
2025-10-02,09:30:00,12.05,Normal day,False
2025-10-02,10:00:00,12.81,Normal day,False
2025-10-02,10:30:00,8.96,Normal day,False
2025-10-02,11:00:00,12.93,Normal day,False
2025-10-02,11:30:00,13.64,Normal day,False
2025-10-02,12:00:00,35.16,Normal day,False
2025-10-02,12:30:00,39.53,Normal day,False
2025-10-02,13:00:00,40.67,Normal day,False
2025-10-02,13:30:00,27.49,Normal day,False
2025-10-02,14:00:00,22.49,Normal day,False
2025-10-02,14:30:00,15.4,Normal day,False
2025-10-02,15:00:00,11.98,Normal day,False
2025-10-02,15:30:00,14.91,Normal day,False
2025-10-02,16:00:00,10.36,Normal day,False
2025-10-02,16:30:00,11.24,Normal day,False
2025-10-02,17:00:00,14.7,Normal day,False
2025-10-02,17:30:00,21.5,Normal day,False
2025-10-02,18:00:00,48.15,Normal day,False
2025-10-02,18:30:00,52.58,Normal day,False
2025-10-02,19:00:00,64.24,Normal day,False
2025-10-02,19:30:00,49.31,Normal day,False
2025-10-02,20:00:00,52.94,Normal day,False
2025-10-02,20:30:00,64.74,Normal day,False
2025-10-02,21:00:00,54.0,Normal day,False
2025-10-02,21:30:00,64.94,Normal day,False
2025-10-02,22:00:00,9.75,Normal day,False
2025-10-02,22:30:00,8.03,Normal day,False
2025-10-02,23:00:00,5.1,Normal day,False
2025-10-02,23:30:00,8.09,Normal day,False
2025-10-03,00:00:00,12.17,Normal day,False
2025-10-03,00:30:00,7.97,Normal day,False
2025-10-03,01:00:00,8.28,Normal day,False
2025-10-03,01:30:00,5.29,Normal day,False
2025-10-03,02:00:00,7.26,Normal day,False
2025-10-03,02:30:00,13.54,Normal day,False
2025-10-03,03:00:00,9.09,Normal day,False
2025-10-03,03:30:00,10.04,Normal day,False
2025-10-03,04:00:00,10.79,Normal day,False
2025-10-03,04:30:00,8.13,Normal day,False
2025-10-03,05:00:00,50.6,Normal day,False
2025-10-03,05:30:00,48.85,Normal day,False
2025-10-03,06:00:00,38.08,Normal day,False
2025-10-03,06:30:00,35.26,Normal day,False
2025-10-03,07:00:00,45.55,Normal day,False
2025-10-03,07:30:00,43.87,Normal day,False
2025-10-03,08:00:00,46.01,Normal day,False
2025-10-03,08:30:00,39.32,Normal day,False
2025-10-03,09:00:00,13.77,Normal day,False
2025-10-03,09:30:00,9.18,Normal day,False
2025-10-03,10:00:00,11.74,Normal day,False
2025-10-03,10:30:00,13.77,Normal day,False
2025-10-03,11:00:00,10.6,Normal day,False
2025-10-03,11:30:00,14.7,Normal day,False
2025-10-03,12:00:00,40.41,Normal day,False
2025-10-03,12:30:00,28.44,Normal day,False
2025-10-03,13:00:00,31.51,Normal day,False
2025-10-03,13:30:00,25.79,Normal day,False
2025-10-03,14:00:00,10.74,Normal day,False
2025-10-03,14:30:00,12.16,Normal day,False
2025-10-03,15:00:00,11.18,Normal day,False
2025-10-03,15:30:00,10.18,Normal day,False
2025-10-03,16:00:00,13.97,Normal day,False
2025-10-03,16:30:00,23.68,Normal day,False
2025-10-03,17:00:00,21.1,Normal day,False
2025-10-03,17:30:00,17.5,Normal day,False
2025-10-03,18:00:00,65.12,Normal day,False
2025-10-03,18:30:00,48.97,Normal day,False
2025-10-03,19:00:00,66.76,Normal day,False
2025-10-03,19:30:00,65.32,Normal day,False
2025-10-03,20:00:00,60.09,Normal day,False
2025-10-03,20:30:00,59.13,Normal day,False
2025-10-03,21:00:00,69.76,Normal day,False
2025-10-03,21:30:00,62.85,Normal day,False
2025-10-03,22:00:00,13.69,Normal day,False
2025-10-03,22:30:00,10.83,Normal day,False
2025-10-03,23:00:00,7.2,Normal day,False
2025-10-03,23:30:00,9.67,Normal day,False
2025-10-04,00:00:00,14.12,Normal day,True
2025-10-04,00:30:00,12.01,Normal day,True
2025-10-04,01:00:00,5.45,Normal day,True
2025-10-04,01:30:00,12.09,Normal day,True
2025-10-04,02:00:00,5.29,Normal day,True
2025-10-04,02:30:00,10.95,Normal day,True
2025-10-04,03:00:00,8.31,Normal day,True
2025-10-04,03:30:00,11.74,Normal day,True
2025-10-04,04:00:00,13.21,Normal day,True
2025-10-04,04:30:00,4.7,Normal day,True
2025-10-04,05:00:00,9.08,Normal day,True
2025-10-04,05:30:00,5.21,Normal day,True
2025-10-04,06:00:00,10.84,Normal day,True
2025-10-04,06:30:00,12.34,Normal day,True
2025-10-04,07:00:00,59.65,Normal day,True
2025-10-04,07:30:00,55.29,Normal day,True
2025-10-04,08:00:00,49.38,Normal day,True
2025-10-04,08:30:00,55.2,Normal day,True
2025-10-04,09:00:00,59.89,Normal day,True
2025-10-04,09:30:00,55.59,Normal day,True
2025-10-04,10:00:00,58.71,Normal day,True
2025-10-04,10:30:00,55.09,Normal day,True
2025-10-04,11:00:00,34.09,Normal day,True
2025-10-04,11:30:00,40.78,Normal day,True
2025-10-04,12:00:00,42.64,Normal day,True
2025-10-04,12:30:00,31.76,Normal day,True
2025-10-04,13:00:00,43.35,Normal day,True
2025-10-04,13:30:00,44.45,Normal day,True
2025-10-04,14:00:00,38.43,Normal day,True
2025-10-04,14:30:00,45.82,Normal day,True
2025-10-04,15:00:00,40.57,Normal day,True
2025-10-04,15:30:00,46.81,Normal day,True
2025-10-04,16:00:00,33.06,Normal day,True
2025-10-04,16:30:00,41.61,Normal day,True
2025-10-04,17:00:00,30.51,Normal day,True
2025-10-04,17:30:00,29.82,Normal day,True
2025-10-04,18:00:00,86.79,Normal day,True
2025-10-04,18:30:00,72.47,Normal day,True
2025-10-04,19:00:00,72.16,Normal day,True
2025-10-04,19:30:00,72.9,Normal day,True
2025-10-04,20:00:00,52.83,Normal day,True
2025-10-04,20:30:00,82.59,Normal day,True
2025-10-04,21:00:00,73.61,Normal day,True
2025-10-04,21:30:00,74.07,Normal day,True
2025-10-04,22:00:00,79.59,Normal day,True
2025-10-04,22:30:00,64.16,Normal day,True
2025-10-04,23:00:00,10.42,Normal day,True
2025-10-04,23:30:00,12.85,Normal day,True
2025-10-05,00:00:00,10.73,Normal day,True
2025-10-05,00:30:00,13.78,Normal day,True
2025-10-05,01:00:00,11.29,Normal day,True
2025-10-05,01:30:00,5.28,Normal day,True
2025-10-05,02:00:00,12.15,Normal day,True
2025-10-05,02:30:00,10.16,Normal day,True
2025-10-05,03:00:00,9.1,Normal day,True
2025-10-05,03:30:00,12.72,Normal day,True
2025-10-05,04:00:00,5.17,Normal day,True
2025-10-05,04:30:00,12.24,Normal day,True
2025-10-05,05:00:00,8.83,Normal day,True
2025-10-05,05:30:00,8.42,Normal day,True
2025-10-05,06:00:00,5.01,Normal day,True
2025-10-05,06:30:00,9.14,Normal day,True
2025-10-05,07:00:00,47.3,Normal day,True
2025-10-05,07:30:00,62.28,Normal day,True
2025-10-05,08:00:00,46.82,Normal day,True
2025-10-05,08:30:00,64.3,Normal day,True
2025-10-05,09:00:00,59.17,Normal day,True
2025-10-05,09:30:00,44.5,Normal day,True
2025-10-05,10:00:00,42.3,Normal day,True
2025-10-05,10:30:00,47.81,Normal day,True
2025-10-05,11:00:00,35.94,Normal day,True
2025-10-05,11:30:00,44.14,Normal day,True
2025-10-05,12:00:00,46.76,Normal day,True
2025-10-05,12:30:00,31.21,Normal day,True
2025-10-05,13:00:00,39.95,Normal day,True
2025-10-05,13:30:00,39.32,Normal day,True
2025-10-05,14:00:00,52.05,Normal day,True
2025-10-05,14:30:00,48.47,Normal day,True
2025-10-05,15:00:00,41.34,Normal day,True
2025-10-05,15:30:00,40.42,Normal day,True
2025-10-05,16:00:00,29.06,Normal day,True
2025-10-05,16:30:00,38.47,Normal day,True
2025-10-05,17:00:00,28.47,Normal day,True
2025-10-05,17:30:00,32.61,Normal day,True
2025-10-05,18:00:00,62.19,Normal day,True
2025-10-05,18:30:00,60.28,Normal day,True
2025-10-05,19:00:00,78.19,Normal day,True
2025-10-05,19:30:00,75.03,Normal day,True
2025-10-05,20:00:00,77.3,Normal day,True
2025-10-05,20:30:00,67.69,Normal day,True
2025-10-05,21:00:00,76.94,Normal day,True
2025-10-05,21:30:00,75.89,Normal day,True
2025-10-05,22:00:00,54.54,Normal day,True
2025-10-05,22:30:00,65.57,Normal day,True
2025-10-05,23:00:00,7.04,Normal day,True
2025-10-05,23:30:00,9.55,Normal day,True
2025-10-06,00:00:00,11.85,Normal day,False
2025-10-06,00:30:00,4.35,Normal day,False
