Date,Time,Usage Percentage,Convert Litter,Special Events,Is Weekend
2024-03-01,00:00:00,6.76,67.6,Normal day,False
2024-03-01,00:30:00,6.55,65.5,Normal day,False
2024-03-01,01:00:00,9.6,96.0,Normal day,False
2024-03-01,01:30:00,5.66,56.6,Normal day,False
2024-03-01,02:00:00,10.52,105.2,Normal day,False
2024-03-01,02:30:00,10.42,104.2,Normal day,False
2024-03-01,03:00:00,13.01,130.1,Normal day,False
2024-03-01,03:30:00,10.36,103.6,Normal day,False
2024-03-01,04:00:00,6.99,69.9,Normal day,False
2024-03-01,04:30:00,10.42,104.2,Normal day,False
2024-03-01,05:00:00,39.0,390.0,Normal day,False
2024-03-01,05:30:00,34.49,344.9,Normal day,False
2024-03-01,06:00:00,30.73,307.3,Normal day,False
2024-03-01,06:30:00,31.81,318.1,Normal day,False
2024-03-01,07:00:00,33.35,333.5,Normal day,False
2024-03-01,07:30:00,46.66,466.6,Normal day,False
2024-03-01,08:00:00,39.61,396.1,Normal day,False
2024-03-01,08:30:00,43.64,436.4,Normal day,False
2024-03-01,09:00:00,14.46,144.6,Normal day,False
2024-03-01,09:30:00,19.81,198.1,Normal day,False
2024-03-01,10:00:00,14.99,149.9,Normal day,False
2024-03-01,10:30:00,12.25,122.5,Normal day,False
2024-03-01,11:00:00,19.9,199.0,Normal day,False
2024-03-01,11:30:00,13.81,138.1,Normal day,False
2024-03-01,12:00:00,33.04,330.4,Normal day,False
2024-03-01,12:30:00,45.6,456.0,Normal day,False
2024-03-01,13:00:00,32.99,329.9,Normal day,False
2024-03-01,13:30:00,42.74,427.4,Normal day,False
2024-03-01,14:00:00,9.91,99.1,Normal day,False
2024-03-01,14:30:00,23.03,230.3,Normal day,False
2024-03-01,15:00:00,13.15,131.5,Normal day,False
2024-03-01,15:30:00,11.89,118.9,Normal day,False
2024-03-01,16:00:00,25.77,257.7,Normal day,False
2024-03-01,16:30:00,20.67,206.7,Normal day,False
2024-03-01,17:00:00,13.33,133.3,Normal day,False
2024-03-01,17:30:00,12.99,129.9,Normal day,False
2024-03-01,18:00:00,61.38,613.8,Normal day,False
2024-03-01,18:30:00,63.19,631.9,Normal day,False
2024-03-01,19:00:00,63.56,635.6,Normal day,False
2024-03-01,19:30:00,52.32,523.2,Normal day,False
2024-03-01,20:00:00,50.1,501.0,Normal day,False
2024-03-01,20:30:00,55.7,557.0,Normal day,False
2024-03-01,21:00:00,74.28,742.8,Normal day,False
2024-03-01,21:30:00,52.67,526.7,Normal day,False
2024-03-01,22:00:00,13.34,133.4,Normal day,False
2024-03-01,22:30:00,9.09,90.9,Normal day,False
2024-03-01,23:00:00,14.1,141.0,Normal day,False
2024-03-01,23:30:00,11.51,115.1,Normal day,False
2024-03-02,00:00:00,9.07,90.7,Normal day,True
2024-03-02,00:30:00,4.56,45.6,Normal day,True
2024-03-02,01:00:00,7.19,71.9,Normal day,True
2024-03-02,01:30:00,11.66,116.6,Normal day,True
2024-03-02,02:00:00,14.56,145.6,Normal day,True
2024-03-02,02:30:00,9.09,90.9,Normal day,True
2024-03-02,03:00:00,13.85,138.5,Normal day,True
2024-03-02,03:30:00,12.12,121.2,Normal day,True
2024-03-02,04:00:00,12.04,120.4,Normal day,True
2024-03-02,04:30:00,9.86,98.6,Normal day,True
2024-03-02,05:00:00,7.94,79.4,Normal day,True
2024-03-02,05:30:00,15.21,152.1,Normal day,True
2024-03-02,06:00:00,7.33,73.3,Normal day,True
2024-03-02,06:30:00,8.12,81.2,Normal day,True
2024-03-02,07:00:00,54.54,545.4,Normal day,True
2024-03-02,07:30:00,69.65,696.5,Normal day,True
2024-03-02,08:00:00,74.11,741.1,Normal day,True
2024-03-02,08:30:00,60.08,600.8,Normal day,True
2024-03-02,09:00:00,50.57,505.7,Normal day,True
2024-03-02,09:30:00,70.43,704.3,Normal day,True
2024-03-02,10:00:00,66.1,661.0,Normal day,True
2024-03-02,10:30:00,69.37,693.7,Normal day,True
2024-03-02,11:00:00,44.76,447.6,Normal day,True
2024-03-02,11:30:00,37.97,379.7,Normal day,True
2024-03-02,12:00:00,46.01,460.1,Normal day,True
2024-03-02,12:30:00,30.27,302.7,Normal day,True
2024-03-02,13:00:00,39.88,398.8,Normal day,True
2024-03-02,13:30:00,56.42,564.2,Normal day,True
2024-03-02,14:00:00,50.33,503.3,Normal day,True
2024-03-02,14:30:00,56.82,568.2,Normal day,True
2024-03-02,15:00:00,40.93,409.3,Normal day,True
2024-03-02,15:30:00,36.96,369.6,Normal day,True
2024-03-02,16:00:00,38.78,387.8,Normal day,True
2024-03-02,16:30:00,39.96,399.6,Normal day,True
2024-03-02,17:00:00,40.97,409.7,Normal day,True
2024-03-02,17:30:00,35.3,353.0,Normal day,True
2024-03-02,18:00:00,69.24,692.4,Normal day,True
2024-03-02,18:30:00,73.18,731.8,Normal day,True
2024-03-02,19:00:00,78.65,786.5,Normal day,True
2024-03-02,19:30:00,65.77,657.7,Normal day,True
2024-03-02,20:00:00,79.57,795.7,Normal day,True
2024-03-02,20:30:00,77.27,772.7,Normal day,True
