Date,Time,Usage Percentage,Convert Liters,Special Events,Is Weekend
2024-04-01,00:00:00,7.31,73.1,Normal day,False
2024-04-01,00:30:00,6.11,61.1,Normal day,False
2024-04-01,01:00:00,10.42,104.2,Normal day,False
2024-04-01,01:30:00,11.95,119.5,Normal day,False
2024-04-01,02:00:00,5.25,52.5,Normal day,False
2024-04-01,02:30:00,11.44,114.4,Normal day,False
2024-04-01,03:00:00,5.83,58.3,Normal day,False
2024-04-01,03:30:00,15.44,154.4,Normal day,False
2024-04-01,04:00:00,13.12,131.2,Normal day,False
2024-04-01,04:30:00,13.84,138.4,Normal day,False
2024-04-01,05:00:00,37.12,371.2,Normal day,False
2024-04-01,05:30:00,43.02,430.2,Normal day,False
2024-04-01,06:00:00,35.05,350.5,Normal day,False
2024-04-01,06:30:00,47.53,475.3,Normal day,False
2024-04-01,07:00:00,45.33,453.3,Normal day,False
2024-04-01,07:30:00,39.15,391.5,Normal day,False
2024-04-01,08:00:00,34.51,345.1,Normal day,False
2024-04-01,08:30:00,33.76,337.6,Normal day,False
2024-04-01,09:00:00,13.04,130.4,Normal day,False
2024-04-01,09:30:00,19.31,193.1,Normal day,False
2024-04-01,10:00:00,14.07,140.7,Normal day,False
2024-04-01,10:30:00,10.69,106.9,Normal day,False
2024-04-01,11:00:00,22.42,224.2,Normal day,False
2024-04-01,11:30:00,17.37,173.7,Normal day,False
2024-04-01,12:00:00,44.07,440.7,Normal day,False
2024-04-01,12:30:00,44.12,441.2,Normal day,False
2024-04-01,13:00:00,50.76,507.6,Normal day,False
2024-04-01,13:30:00,29.7,297.0,Normal day,False
2024-04-01,14:00:00,12.52,125.2,Normal day,False
2024-04-01,14:30:00,23.95,239.5,Normal day,False
2024-04-01,15:00:00,24.52,245.2,Normal day,False
2024-04-01,15:30:00,23.9,239.0,Normal day,False
2024-04-01,16:00:00,25.84,258.4,Normal day,False
2024-04-01,16:30:00,17.82,178.2,Normal day,False
2024-04-01,17:00:00,23.0,230.0,Normal day,False
2024-04-01,17:30:00,9.9,99.0,Normal day,False
2024-04-01,18:00:00,56.63,566.3,Normal day,False
2024-04-01,18:30:00,64.78,647.8,Normal day,False
2024-04-01,19:00:00,68.64,686.4,Normal day,False
2024-04-01,19:30:00,69.83,698.3,Normal day,False
2024-04-01,20:00:00,68.07,680.7,Normal day,False
2024-04-01,20:30:00,72.94,729.4,Normal day,False
2024-04-01,21:00:00,63.77,637.7,Normal day,False
2024-04-01,21:30:00,77.34,773.4,Normal day,False
2024-04-01,22:00:00,11.14,111.4,Normal day,False
2024-04-01,22:30:00,13.61,136.1,Normal day,False
2024-04-01,23:00:00,11.18,111.8,Normal day,False
2024-04-01,23:30:00,6.7,67.0,Normal day,False
