Date,Time,Usage Percentage,Special Events,Is Weekend
2025-02-01,00:00:00,8.35,Normal day,True
2025-02-01,00:30:00,5.29,Normal day,True
2025-02-01,01:00:00,8.81,Normal day,True
2025-02-01,01:30:00,7.55,Normal day,True
2025-02-01,02:00:00,5.62,Normal day,True
2025-02-01,02:30:00,5.86,Normal day,True
2025-02-01,03:00:00,5.5,Normal day,True
2025-02-01,03:30:00,13.84,Normal day,True
2025-02-01,04:00:00,8.64,Normal day,True
2025-02-01,04:30:00,9.44,Normal day,True
2025-02-01,05:00:00,9.56,Normal day,True
2025-02-01,05:30:00,5.09,Normal day,True
2025-02-01,06:00:00,9.52,Normal day,True
2025-02-01,06:30:00,7.52,Normal day,True
2025-02-01,07:00:00,51.84,Normal day,True
2025-02-01,07:30:00,55.15,Normal day,True
2025-02-01,08:00:00,58.82,Normal day,True
2025-02-01,08:30:00,60.12,Normal day,True
2025-02-01,09:00:00,54.05,Normal day,True
2025-02-01,09:30:00,49.34,Normal day,True
2025-02-01,10:00:00,55.8,Normal day,True
2025-02-01,10:30:00,50.07,Normal day,True
2025-02-01,11:00:00,36.79,Normal day,True
2025-02-01,11:30:00,35.88,Normal day,True
2025-02-01,12:00:00,33.74,Normal day,True
2025-02-01,12:30:00,38.39,Normal day,True
2025-02-01,13:00:00,44.18,Normal day,True
2025-02-01,13:30:00,39.41,Normal day,True
2025-02-01,14:00:00,36.31,Normal day,True
2025-02-01,14:30:00,36.11,Normal day,True
2025-02-01,15:00:00,36.08,Normal day,True
2025-02-01,15:30:00,37.95,Normal day,True
2025-02-01,16:00:00,31.47,Normal day,True
2025-02-01,16:30:00,32.17,Normal day,True
2025-02-01,17:00:00,39.15,Normal day,True
2025-02-01,17:30:00,45.24,Normal day,True
2025-02-01,18:00:00,67.75,Normal day,True
2025-02-01,18:30:00,74.97,Normal day,True
2025-02-01,19:00:00,64.5,Normal day,True
2025-02-01,19:30:00,78.03,Normal day,True
2025-02-01,20:00:00,66.93,Normal day,True
2025-02-01,20:30:00,66.15,Normal day,True
2025-02-01,21:00:00,84.59,Normal day,True
2025-02-01,21:30:00,56.73,Normal day,True
2025-02-01,22:00:00,56.81,Normal day,True
2025-02-01,22:30:00,59.82,Normal day,True
2025-02-01,23:00:00,10.85,Normal day,True
2025-02-01,23:30:00,11.98,Normal day,True
2025-02-02,00:00:00,10.67,Normal day,True
2025-02-02,00:30:00,9.2,Normal day,True
2025-02-02,01:00:00,9.66,Normal day,True
2025-02-02,01:30:00,6.59,Normal day,True
2025-02-02,02:00:00,8.67,Normal day,True
2025-02-02,02:30:00,9.91,Normal day,True
2025-02-02,03:00:00,7.99,Normal day,True
2025-02-02,03:30:00,13.4,Normal day,True
2025-02-02,04:00:00,9.54,Normal day,True
2025-02-02,04:30:00,9.47,Normal day,True
2025-02-02,05:00:00,7.39,Normal day,True
2025-02-02,05:30:00,11.54,Normal day,True
2025-02-02,06:00:00,7.13,Normal day,True
2025-02-02,06:30:00,8.29,Normal day,True
2025-02-02,07:00:00,45.87,Normal day,True
2025-02-02,07:30:00,65.55,Normal day,True
2025-02-02,08:00:00,41.74,Normal day,True
2025-02-02,08:30:00,57.38,Normal day,True
2025-02-02,09:00:00,48.64,Normal day,True
2025-02-02,09:30:00,51.55,Normal day,True
2025-02-02,10:00:00,58.61,Normal day,True
2025-02-02,10:30:00,49.29,Normal day,True
2025-02-02,11:00:00,37.92,Normal day,True
2025-02-02,11:30:00,38.71,Normal day,True
2025-02-02,12:00:00,29.87,Normal day,True
2025-02-02,12:30:00,36.52,Normal day,True
2025-02-02,13:00:00,42.5,Normal day,True
2025-02-02,13:30:00,41.21,Normal day,True
2025-02-02,14:00:00,41.97,Normal day,True
2025-02-02,14:30:00,55.33,Normal day,True
2025-02-02,15:00:00,38.37,Normal day,True
2025-02-02,15:30:00,36.53,Normal day,True
2025-02-02,16:00:00,42.34,Normal day,True
2025-02-02,16:30:00,44.82,Normal day,True
2025-02-02,17:00:00,37.25,Normal day,True
2025-02-02,17:30:00,30.88,Normal day,True
2025-02-02,18:00:00,55.51,Normal day,True
2025-02-02,18:30:00,86.44,Normal day,True
2025-02-02,19:00:00,68.94,Normal day,True
2025-02-02,19:30:00,71.66,Normal day,True
2025-02-02,20:00:00,78.45,Normal day,True
2025-02-02,20:30:00,74.47,Normal day,True
2025-02-02,21:00:00,64.99,Normal day,True
2025-02-02,21:30:00,73.47,Normal day,True
2025-02-02,22:00:00,61.74,Normal day,True
2025-02-02,22:30:00,69.02,Normal day,True
2025-02-02,23:00:00,8.1,Normal day,True
2025-02-02,23:30:00,7.92,Normal day,True
2025-02-03,00:00:00,11.31,Normal day,False
2025-02-03,00:30:00,8.48,Normal day,False
2025-02-03,01:00:00,6.93,Normal day,False
2025-02-03,01:30:00,9.62,Normal day,False
2025-02-03,02:00:00,6.85,Normal day,False
2025-02-03,02:30:00,7.18,Normal day,False
2025-02-03,03:00:00,9.49,Normal day,False
2025-02-03,03:30:00,6.73,Normal day,False
2025-02-03,04:00:00,7.76,Normal day,False
2025-02-03,04:30:00,8.73,Normal day,False
2025-02-03,05:00:00,40.1,Normal day,False
2025-02-03,05:30:00,45.49,Normal day,False
2025-02-03,06:00:00,55.18,Normal day,False
2025-02-03,06:30:00,46.11,Normal day,False
2025-02-03,07:00:00,37.93,Normal day,False
2025-02-03,07:30:00,55.65,Normal day,False
2025-02-03,08:00:00,57.19,Normal day,False
2025-02-03,08:30:00,41.12,Normal day,False
2025-02-03,09:00:00,12.78,Normal day,False
2025-02-03,09:30:00,17.89,Normal day,False
2025-02-03,10:00:00,14.1,Normal day,False
2025-02-03,10:30:00,12.93,Normal day,False
2025-02-03,11:00:00,13.65,Normal day,False
2025-02-03,11:30:00,17.42,Normal day,False
2025-02-03,12:00:00,39.12,Normal day,False
2025-02-03,12:30:00,25.83,Normal day,False
2025-02-03,13:00:00,41.98,Normal day,False
2025-02-03,13:30:00,37.47,Normal day,False
2025-02-03,14:00:00,11.29,Normal day,False
2025-02-03,14:30:00,12.42,Normal day,False
2025-02-03,15:00:00,9.79,Normal day,False
2025-02-03,15:30:00,14.67,Normal day,False
2025-02-03,16:00:00,14.76,Normal day,False
2025-02-03,16:30:00,11.25,Normal day,False
2025-02-03,17:00:00,20.56,Normal day,False
2025-02-03,17:30:00,9.82,Normal day,False
2025-02-03,18:00:00,60.92,Normal day,False
2025-02-03,18:30:00,49.09,Normal day,False
2025-02-03,19:00:00,56.36,Normal day,False
2025-02-03,19:30:00,71.81,Normal day,False
2025-02-03,20:00:00,63.24,Normal day,False
2025-02-03,20:30:00,77.35,Normal day,False
2025-02-03,21:00:00,57.42,Normal day,False
2025-02-03,21:30:00,58.65,Normal day,False
2025-02-03,22:00:00,10.95,Normal day,False
2025-02-03,22:30:00,12.19,Normal day,False
2025-02-03,23:00:00,9.34,Normal day,False
2025-02-03,23:30:00,9.06,Normal day,False
2025-02-04,00:00:00,11.99,Normal day,False
2025-02-04,00:30:00,9.52,Normal day,False
2025-02-04,01:00:00,12.09,Normal day,False
2025-02-04,01:30:00,10.51,Normal day,False
2025-02-04,02:00:00,5.07,Normal day,False
2025-02-04,02:30:00,12.57,Normal day,False
2025-02-04,03:00:00,11.62,Normal day,False
2025-02-04,03:30:00,6.34,Normal day,False
2025-02-04,04:00:00,4.62,Normal day,False
2025-02-04,04:30:00,4.63,Normal day,False
2025-02-04,05:00:00,37.85,Normal day,False
2025-02-04,05:30:00,41.58,Normal day,False
2025-02-04,06:00:00,53.17,Normal day,False
2025-02-04,06:30:00,50.55,Normal day,False
2025-02-04,07:00:00,51.3,Normal day,False
2025-02-04,07:30:00,51.54,Normal day,False
2025-02-04,08:00:00,39.38,Normal day,False
2025-02-04,08:30:00,34.32,Normal day,False
2025-02-04,09:00:00,9.75,Normal day,False
2025-02-04,09:30:00,16.15,Normal day,False
2025-02-04,10:00:00,12.46,Normal day,False
2025-02-04,10:30:00,11.73,Normal day,False
2025-02-04,11:00:00,15.34,Normal day,False
2025-02-04,11:30:00,12.75,Normal day,False
2025-02-04,12:00:00,35.79,Normal day,False
2025-02-04,12:30:00,30.21,Normal day,False
2025-02-04,13:00:00,38.27,Normal day,False
2025-02-04,13:30:00,48.31,Normal day,False
2025-02-04,14:00:00,14.54,Normal day,False
2025-02-04,14:30:00,16.66,Normal day,False
2025-02-04,15:00:00,20.21,Normal day,False
2025-02-04,15:30:00,10.15,Normal day,False
2025-02-04,16:00:00,10.48,Normal day,False
2025-02-04,16:30:00,13.57,Normal day,False
2025-02-04,17:00:00,13.73,Normal day,False
2025-02-04,17:30:00,9.36,Normal day,False
2025-02-04,18:00:00,59.72,Normal day,False
2025-02-04,18:30:00,48.82,Normal day,False
2025-02-04,19:00:00,44.94,Normal day,False
2025-02-04,19:30:00,78.53,Normal day,False
2025-02-04,20:00:00,69.06,Normal day,False
2025-02-04,20:30:00,67.16,Normal day,False
2025-02-04,21:00:00,47.02,Normal day,False
2025-02-04,21:30:00,62.71,Normal day,False
2025-02-04,22:00:00,8.52,Normal day,False
2025-02-04,22:30:00,8.51,Normal day,False
2025-02-04,23:00:00,4.92,Normal day,False
2025-02-04,23:30:00,8.5,Normal day,False
2025-02-05,00:00:00,6.81,Normal day,False
2025-02-05,00:30:00,8.65,Normal day,False
2025-02-05,01:00:00,10.85,Normal day,False
2025-02-05,01:30:00,11.25,Normal day,False
2025-02-05,02:00:00,10.91,Normal day,False
2025-02-05,02:30:00,5.2,Normal day,False
2025-02-05,03:00:00,13.43,Normal day,False
2025-02-05,03:30:00,6.84,Normal day,False
2025-02-05,04:00:00,9.4,Normal day,False
2025-02-05,04:30:00,12.97,Normal day,False
2025-02-05,05:00:00,51.4,Normal day,False
2025-02-05,05:30:00,53.22,Normal day,False
2025-02-05,06:00:00,52.93,Normal day,False
